id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
1227,event-204,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.124205,8458.9750
1228,event-205,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.126927,8461.6970
1229,event-206,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.128536,8463.3060
1230,event-207,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.129831,8464.6010
1231,event-208,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.131877,8466.6470
1232,event-209,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.133143,8467.9130
1233,event-210,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.134348,8469.1180
1234,event-211,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.135423,8470.1930
1235,event-212,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.136867,8471.6370
1236,event-213,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.138292,8473.0620
1237,event-214,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.142726,8477.4960
1238,event-215,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.144218,8478.9880
1239,event-216,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.145333,8480.1030
1240,event-217,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.146788,8481.5580
1241,event-218,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.149156,8483.9260
1242,event-219,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.151621,8486.3910
1243,event-220,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.152728,8487.4980
1244,event-221,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.153908,8488.6780
1245,event-222,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.155215,8489.9850
1246,event-223,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.156603,8491.3730
1247,event-224,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.158107,8492.8770
1248,event-225,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.159692,8494.4620
1249,event-226,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.160947,8495.7170
1250,event-227,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.162064,8496.8340
1251,event-228,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.163176,8497.9460
1252,event-229,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.164997,8499.7670
1253,event-230,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.168975,8503.7450
1254,event-231,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.170408,8505.1780
1255,event-232,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.171675,8506.4450
1256,event-233,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.174288,8509.0580
1257,event-234,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.176851,8511.6210
1258,event-235,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.179312,8514.0820
1259,event-236,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.182399,8517.1690
1260,event-237,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.184018,8518.7880
1261,event-238,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.185091,8519.8610
1262,event-239,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.186159,8520.9290
1263,event-240,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.187357,8522.1270
1264,event-241,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.188681,8523.4510
1265,event-242,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.190536,8525.3060
